source,destination,flow
Anhui,Anhui,43125
Anhui,Beijing,1492015
Anhui,Chongqing,1602553
Anhui,Fujian,1460970
Anhui,Gansu,568792
Anhui,Guangdong,4899952
Anhui,Guangxi,1308685
Anhui,Guizhou,1075729
Anhui,Hainan,1473889
Anhui,Hebei,159011
Anhui,Heilongjiang,674523
Anhui,Henan,42283
Anhui,Hong Kong,24077
Anhui,Hubei,88813
Anhui,Hunan,53827
Anhui,Inner Mongolia,529218
Anhui,Jiangsu,8109
Anhui,Jiangxi,57728
Anhui,Jilin,448508
Anhui,Liaoning,1315773
Anhui,Macau,42652
Anhui,Ningxia,321755
Anhui,Qinghai,256160
Anhui,Shaanxi,977861
Anhui,Shandong,974903
Anhui,Shanghai,291897
Anhui,Shanxi,744211
Anhui,Sichuan,1224918
Anhui,Taiwan,219166
Anhui,Tianjin,196525
Anhui,Tibet,134461
Anhui,Xinjiang,442634
Anhui,Yunnan,1896635
Anhui,Zhejiang,438658
Beijing,Anhui,1477184
Beijing,Beijing,1257
Beijing,Chongqing,6456509
Beijing,Fujian,4687024
Beijing,Gansu,2998597
Beijing,Guangdong,19215232
Beijing,Guangxi,4239605
Beijing,Guizhou,3995029
Beijing,Hainan,8586678
Beijing,Hebei,939
Beijing,Heilongjiang,6020062
Beijing,Henan,895815
Beijing,Hong Kong,1914411
Beijing,Hubei,3952444
Beijing,Hunan,5468701
Beijing,Inner Mongolia,5961415
Beijing,Jiangsu,4575923
Beijing,Jiangxi,5576036
Beijing,Jilin,3219337
Beijing,Liaoning,4549864
Beijing,Macau,529385
Beijing,Ningxia,2050280
Beijing,Qinghai,1638856
Beijing,Shaanxi,5569193
Beijing,Shandong,4934561
Beijing,Shanghai,15331322
Beijing,Shanxi,1454076
Beijing,Sichuan,9995104
Beijing,Taiwan,976417
Beijing,Tianjin,43749
Beijing,Tibet,387720
Beijing,Xinjiang,4030417
Beijing,Yunnan,6204408
Beijing,Zhejiang,10661168
Chongqing,Anhui,1610583
Chongqing,Beijing,6431652
Chongqing,Chongqing,576774
Chongqing,Fujian,3217543
Chongqing,Gansu,616043
Chongqing,Guangdong,11143025
Chongqing,Guangxi,2230830
Chongqing,Guizhou,412962
Chongqing,Hainan,4354578
Chongqing,Hebei,1012537
Chongqing,Heilongjiang,704568
Chongqing,Henan,2445077
Chongqing,Hong Kong,180980
Chongqing,Hubei,1564665
Chongqing,Hunan,2168451
Chongqing,Inner Mongolia,736608
Chongqing,Jiangsu,6524419
Chongqing,Jiangxi,3047696
Chongqing,Jilin,510830
Chongqing,Liaoning,1438502
Chongqing,Macau,88456
Chongqing,Ningxia,1037672
Chongqing,Qinghai,474299
Chongqing,Shaanxi,1338326
Chongqing,Shandong,3952531
Chongqing,Shanghai,7270103
Chongqing,Shanxi,1397786
Chongqing,Sichuan,362191
Chongqing,Taiwan,330822
Chongqing,Tianjin,1900324
Chongqing,Tibet,2187764
Chongqing,Xinjiang,2170765
Chongqing,Yunnan,5174459
Chongqing,Zhejiang,7392858
Fujian,Anhui,1463815
Fujian,Beijing,4630194
Fujian,Chongqing,3139732
Fujian,Fujian,222515
Fujian,Gansu,619074
Fujian,Guangdong,2783189
Fujian,Guangxi,2308862
Fujian,Guizhou,3105784
Fujian,Hainan,1599971
Fujian,Hebei,960397
Fujian,Heilongjiang,768747
Fujian,Henan,2918321
Fujian,Hong Kong,643632
Fujian,Hubei,2328351
Fujian,Hunan,2506344
Fujian,Inner Mongolia,697818
Fujian,Jiangsu,5424747
Fujian,Jiangxi,423078
Fujian,Jilin,499543
Fujian,Liaoning,1457456
Fujian,Macau,360054
Fujian,Ningxia,324801
Fujian,Qinghai,101830
Fujian,Shaanxi,2237358
Fujian,Shandong,3175910
Fujian,Shanghai,6357663
Fujian,Shanxi,1190942
Fujian,Sichuan,2391833
Fujian,Taiwan,5703852
Fujian,Tianjin,1599567
Fujian,Tibet,57173
Fujian,Xinjiang,340058
Fujian,Yunnan,2971245
Fujian,Zhejiang,3517646
Gansu,Anhui,615856
Gansu,Beijing,3131113
Gansu,Chongqing,612123
Gansu,Fujian,647639
Gansu,Gansu,4661466
Gansu,Guangdong,2236483
Gansu,Guangxi,958057
Gansu,Guizhou,739506
Gansu,Hainan,913876
Gansu,Hebei,453839
Gansu,Heilongjiang,183211
Gansu,Henan,854476
Gansu,Hong Kong,10594
Gansu,Hubei,973243
Gansu,Hunan,1159992
Gansu,Inner Mongolia,458809
Gansu,Jiangsu,1818521
Gansu,Jiangxi,986147
Gansu,Jilin,151623
Gansu,Liaoning,566838
Gansu,Macau,4033
Gansu,Ningxia,325184
Gansu,Qinghai,206200
Gansu,Shaanxi,1441877
Gansu,Shandong,1596106
Gansu,Shanghai,2531801
Gansu,Shanxi,256579
Gansu,Sichuan,1372006
Gansu,Taiwan,63579
Gansu,Tianjin,1015232
Gansu,Tibet,242543
Gansu,Xinjiang,2325365
Gansu,Yunnan,1030206
Gansu,Zhejiang,2030970
Guangdong,Anhui,4899948
Guangdong,Beijing,19128676
Guangdong,Chongqing,11061343
Guangdong,Fujian,2775286
Guangdong,Gansu,2078709
Guangdong,Guangdong,3809433
Guangdong,Guangxi,1835406
Guangdong,Guizhou,4530814
Guangdong,Hainan,9904325
Guangdong,Hebei,2168192
Guangdong,Heilongjiang,3334099
Guangdong,Henan,7817392
Guangdong,Hong Kong,100417
Guangdong,Hubei,6895232
Guangdong,Hunan,3775991
Guangdong,Inner Mongolia,2197630
Guangdong,Jiangsu,17525854
Guangdong,Jiangxi,5834446
Guangdong,Jilin,2385260
Guangdong,Liaoning,5516796
Guangdong,Macau,41402
Guangdong,Ningxia,1132263
Guangdong,Qinghai,834956
Guangdong,Shaanxi,8458175
Guangdong,Shandong,9015068
Guangdong,Shanghai,24353273
Guangdong,Shanxi,3595382
Guangdong,Sichuan,13625455
Guangdong,Taiwan,1430676
Guangdong,Tianjin,4185992
Guangdong,Tibet,198207
Guangdong,Xinjiang,1953112
Guangdong,Yunnan,9629984
Guangdong,Zhejiang,19582410
Guangxi,Anhui,1290669
Guangxi,Beijing,4303538
Guangxi,Chongqing,2200269
Guangxi,Fujian,2341406
Guangxi,Gansu,955437
Guangxi,Guangdong,1824950
Guangxi,Guangxi,687527
Guangxi,Guizhou,704694
Guangxi,Hainan,2790529
Guangxi,Hebei,862441
Guangxi,Heilongjiang,613258
Guangxi,Henan,2357519
Guangxi,Hong Kong,97208
Guangxi,Hubei,1935476
Guangxi,Hunan,1674633
Guangxi,Inner Mongolia,283956
Guangxi,Jiangsu,4047828
Guangxi,Jiangxi,2384204
Guangxi,Jilin,356129
Guangxi,Liaoning,1197461
Guangxi,Macau,64477
Guangxi,Ningxia,358694
Guangxi,Qinghai,93413
Guangxi,Shaanxi,3993621
Guangxi,Shandong,2556964
Guangxi,Shanghai,4618377
Guangxi,Shanxi,954594
Guangxi,Sichuan,2541809
Guangxi,Taiwan,321626
Guangxi,Tianjin,1181756
Guangxi,Tibet,46025
Guangxi,Xinjiang,262284
Guangxi,Yunnan,1503475
Guangxi,Zhejiang,4054159
Guizhou,Anhui,1126838
Guizhou,Beijing,4090308
Guizhou,Chongqing,443849
Guizhou,Fujian,3159252
Guizhou,Gansu,756007
Guizhou,Guangdong,4485023
Guizhou,Guangxi,743682
Guizhou,Guizhou,3789811
Guizhou,Hainan,2592155
Guizhou,Hebei,514991
Guizhou,Heilongjiang,417642
Guizhou,Henan,2081332
