source,destination,flow
Alabama,Alabama,26106
Alabama,Alaska,31047
Alabama,Arizona,231916
Alabama,Arkansas,61805
Alabama,California,709012
Alabama,Colorado,394064
Alabama,Connecticut,67644
Alabama,District of Columbia,446370
Alabama,Florida,1298637
Alabama,Georgia,411840
Alabama,Hawaii,55299
Alabama,Idaho,23714
Alabama,Illinois,409441
Alabama,Indiana,90370
Alabama,Iowa,42409
Alabama,Kansas,27536
Alabama,Kentucky,66872
Alabama,Louisiana,130374
Alabama,Maine,28355
Alabama,Maryland,242983
Alabama,Massachusetts,126790
Alabama,Michigan,243279
Alabama,Minnesota,102514
Alabama,Mississippi,28347
Alabama,Missouri,211552
Alabama,Montana,40714
Alabama,Nebraska,48939
Alabama,Nevada,252842
Alabama,New Hampshire,26817
Alabama,New Jersey,82
Alabama,New Mexico,54416
Alabama,New York,474799
Alabama,North Carolina,401499
Alabama,North Dakota,16208
Alabama,Ohio,230102
Alabama,Oklahoma,108808
Alabama,Oregon,75728
Alabama,Pennsylvania,307299
Alabama,Rhode Island,35741
Alabama,South Carolina,155797
Alabama,South Dakota,19283
Alabama,Tennessee,95852
Alabama,Texas,1455385
Alabama,Utah,112896
Alabama,Vermont,11461
Alabama,Virginia,190580
Alabama,Washington,149466
Alabama,West Virginia,25158
Alabama,Wisconsin,85590
Alabama,Wyoming,24056
Alaska,Alabama,26363
Alaska,Alaska,11133697
Alaska,Arizona,247095
Alaska,Arkansas,19301
Alaska,California,983468
Alaska,Colorado,230464
Alaska,Connecticut,11879
Alaska,District of Columbia,101917
Alaska,Florida,257752
Alaska,Georgia,108984
Alaska,Hawaii,327332
Alaska,Idaho,84337
Alaska,Illinois,211884
Alaska,Indiana,32941
Alaska,Iowa,15107
Alaska,Kansas,11224
Alaska,Kentucky,16925
Alaska,Louisiana,46963
Alaska,Maine,8371
Alaska,Maryland,36911
Alaska,Massachusetts,64198
Alaska,Michigan,93753
Alaska,Minnesota,233084
Alaska,Mississippi,9851
Alaska,Missouri,103599
Alaska,Montana,79579
Alaska,Nebraska,29296
Alaska,Nevada,202957
Alaska,New Hampshire,936
Alaska,New Jersey,19
Alaska,New Mexico,26285
