Dep State Name,Arr State Name,Total Est. Pax,Time Series
Alabama,Alabama,1432,2020-01
Alabama,Alaska,1191,2020-01
Alabama,Arizona,9766,2020-01
Alabama,Arkansas,2939,2020-01
Alabama,California,29484,2020-01
Alabama,Colorado,15199,2020-01
Alabama,Connecticut,2886,2020-01
Alabama,District Of Columbia,20489,2020-01
Alabama,Florida,55848,2020-01
Alabama,Georgia,18981,2020-01
Alabama,Hawaii,2400,2020-01
Alabama,Idaho,772,2020-01
Alabama,Illinois,14226,2020-01
Alabama,Indiana,3891,2020-01
Alabama,Iowa,1906,2020-01
Alabama,Kansas,1191,2020-01
Alabama,Kentucky,3475,2020-01
Alabama,Louisiana,6688,2020-01
Alabama,Maine,897,2020-01
Alabama,Maryland,9729,2020-01
Alabama,Massachusetts,5297,2020-01
Alabama,Michigan,9695,2020-01
Alabama,Minnesota,4250,2020-01
Alabama,Mississippi,1816,2020-01
Alabama,Missouri,10427,2020-01
Alabama,Montana,1144,2020-01
Alabama,Nebraska,2166,2020-01
Alabama,Nevada,11564,2020-01
Alabama,New Hampshire,1130,2020-01
Alabama,New Jersey,1,2020-01
Alabama,New Mexico,2755,2020-01
Alabama,New York,20876,2020-01
Alabama,North Carolina,17613,2020-01
Alabama,North Dakota,673,2020-01
Alabama,Ohio,10507,2020-01
Alabama,Oklahoma,5042,2020-01
Alabama,Oregon,2892,2020-01
Alabama,Pennsylvania,12206,2020-01
Alabama,Rhode Island,1436,2020-01
Alabama,South Carolina,7355,2020-01
Alabama,South Dakota,549,2020-01
Alabama,Tennessee,4670,2020-01
Alabama,Texas,59231,2020-01
Alabama,Utah,4427,2020-01
Alabama,Vermont,507,2020-01
Alabama,Virginia,8542,2020-01
Alabama,Washington,5703,2020-01
Alabama,West Virginia,1470,2020-01
Alabama,Wisconsin,3820,2020-01
Alabama,Wyoming,721,2020-01
Alaska,Alabama,854,2020-01
Alaska,Alaska,448238,2020-01
Alaska,Arizona,9203,2020-01
Alaska,Arkansas,532,2020-01
Alaska,California,31494,2020-01
Alaska,Colorado,5273,2020-01
Alaska,Connecticut,256,2020-01
Alaska,District Of Columbia,3415,2020-01
Alaska,Florida,7600,2020-01
Alaska,Georgia,2366,2020-01
Alaska,Hawaii,19943,2020-01
Alaska,Idaho,2574,2020-01
Alaska,Illinois,4177,2020-01
Alaska,Indiana,670,2020-01
Alaska,Iowa,346,2020-01
Alaska,Kansas,251,2020-01
Alaska,Kentucky,313,2020-01
Alaska,Louisiana,1703,2020-01
Alaska,Maine,127,2020-01
Alaska,Maryland,1100,2020-01
Alaska,Massachusetts,1591,2020-01
Alaska,Michigan,1866,2020-01
Alaska,Minnesota,3503,2020-01
Alaska,Mississippi,342,2020-01
Alaska,Missouri,2611,2020-01
Alaska,Montana,2432,2020-01
Alaska,Nebraska,683,2020-01
Alaska,Nevada,6346,2020-01
Alaska,New Hampshire,21,2020-01
Alaska,New Mexico,682,2020-01
Alaska,New York,4263,2020-01
Alaska,North Carolina,1816,2020-01
Alaska,North Dakota,455,2020-01
Alaska,Ohio,1447,2020-01
Alaska,Oklahoma,1265,2020-01
Alaska,Oregon,12962,2020-01
Alaska,Pennsylvania,2388,2020-01
Alaska,Rhode Island,86,2020-01
Alaska,South Carolina,794,2020-01
Alaska,South Dakota,519,2020-01
Alaska,Tennessee,1719,2020-01
Alaska,Texas,10714,2020-01
Alaska,Utah,3203,2020-01
Alaska,Vermont,92,2020-01
Alaska,Virginia,1285,2020-01
Alaska,Washington,85444,2020-01
Alaska,West Virginia,40,2020-01
Alaska,Wisconsin,1276,2020-01
Alaska,Wyoming,479,2020-01
Arizona,Alabama,10189,2020-01
Arizona,Alaska,9045,2020-01
Arizona,Arizona,31888,2020-01
Arizona,Arkansas,8975,2020-01
Arizona,California,542846,2020-01
Arizona,Colorado,157207,2020-01
Arizona,Connecticut,7658,2020-01
