"GEO_ID","NAME","P1_001N",
# "Geography","Geographic Area Name"," !!Total",
"860Z200US06390","ZCTA5 06390","422",
"860Z200US10001","ZCTA5 10001","32612",
"860Z200US10002","ZCTA5 10002","82155",
"860Z200US10003","ZCTA5 10003","57076",
"860Z200US10004","ZCTA5 10004","4287",
"860Z200US10005","ZCTA5 10005","10639",
"860Z200US10006","ZCTA5 10006","4282",
"860Z200US10007","ZCTA5 10007","8421",
"860Z200US10009","ZCTA5 10009","61716",
"860Z200US10010","ZCTA5 10010","33991",
"860Z200US10011","ZCTA5 10011","53318",
"860Z200US10012","ZCTA5 10012","23125",
"860Z200US10013","ZCTA5 10013","31042",
"860Z200US10014","ZCTA5 10014","32590",
"860Z200US10016","ZCTA5 10016","62336",
"860Z200US10017","ZCTA5 10017","17401",
"860Z200US10018","ZCTA5 10018","11145",
"860Z200US10019","ZCTA5 10019","49029",
"860Z200US10020","ZCTA5 10020","0",
"860Z200US10021","ZCTA5 10021","45691",
"860Z200US10022","ZCTA5 10022","36708",
"860Z200US10023","ZCTA5 10023","71164",
"860Z200US10024","ZCTA5 10024","62250",
"860Z200US10025","ZCTA5 10025","95424",
"860Z200US10026","ZCTA5 10026","35644",
"860Z200US10027","ZCTA5 10027","64037",
"860Z200US10028","ZCTA5 10028","48116",
"860Z200US10029","ZCTA5 10029","78141",
"860Z200US10030","ZCTA5 10030","29686",
"860Z200US10031","ZCTA5 10031","56363",
"860Z200US10032","ZCTA5 10032","55170",
"860Z200US10033","ZCTA5 10033","50085",
"860Z200US10034","ZCTA5 10034","36778",
"860Z200US10035","ZCTA5 10035","35980",
"860Z200US10036","ZCTA5 10036","33868",
"860Z200US10037","ZCTA5 10037","19670",
"860Z200US10038","ZCTA5 10038","25332",
"860Z200US10039","ZCTA5 10039","29239",
"860Z200US10040","ZCTA5 10040","40405",
"860Z200US10044","ZCTA5 10044","11722",
"860Z200US10065","ZCTA5 10065","32891",
"860Z200US10069","ZCTA5 10069","6671",
"860Z200US10075","ZCTA5 10075","27796",
"860Z200US10103","ZCTA5 10103","10",
"860Z200US10110","ZCTA5 10110","14",
"860Z200US10111","ZCTA5 10111","6",
"860Z200US10112","ZCTA5 10112","5",
"860Z200US10115","ZCTA5 10115","0",
"860Z200US10119","ZCTA5 10119","154",
"860Z200US10128","ZCTA5 10128","64249",
"860Z200US10152","ZCTA5 10152","48",
"860Z200US10153","ZCTA5 10153","0",
"860Z200US10154","ZCTA5 10154","0",
"860Z200US10162","ZCTA5 10162","1814",
"860Z200US10165","ZCTA5 10165","20",
"860Z200US10167","ZCTA5 10167","0",
"860Z200US10168","ZCTA5 10168","0",
"860Z200US10169","ZCTA5 10169","0",
"860Z200US10170","ZCTA5 10170","40",
"860Z200US10171","ZCTA5 10171","17",
"860Z200US10172","ZCTA5 10172","0",
"860Z200US10173","ZCTA5 10173","2",
"860Z200US10174","ZCTA5 10174","17",
"860Z200US10177","ZCTA5 10177","0",
"860Z200US10199","ZCTA5 10199","71",
"860Z200US10271","ZCTA5 10271","0",
"860Z200US10278","ZCTA5 10278","6",
"860Z200US10279","ZCTA5 10279","236",
"860Z200US10280","ZCTA5 10280","8993",
"860Z200US10282","ZCTA5 10282","5847",
"860Z200US10301","ZCTA5 10301","41474",
"860Z200US10302","ZCTA5 10302","20931",
"860Z200US10303","ZCTA5 10303","28155",
"860Z200US10304","ZCTA5 10304","46944",
"860Z200US10305","ZCTA5 10305","44008",
"860Z200US10306","ZCTA5 10306","57919",
"860Z200US10307","ZCTA5 10307","14129",
"860Z200US10308","ZCTA5 10308","28198",
"860Z200US10309","ZCTA5 10309","33523",
"860Z200US10310","ZCTA5 10310","26667",
"860Z200US10311","ZCTA5 10311","0",
"860Z200US10312","ZCTA5 10312","61642",
"860Z200US10314","ZCTA5 10314","92157",
"860Z200US10451","ZCTA5 10451","51536",
"860Z200US10452","ZCTA5 10452","77564",
"860Z200US10453","ZCTA5 10453","81951",
"860Z200US10454","ZCTA5 10454","40232",
"860Z200US10455","ZCTA5 10455","43804",
"860Z200US10456","ZCTA5 10456","93412",
"860Z200US10457","ZCTA5 10457","77488",
"860Z200US10458","ZCTA5 10458","81299",
"860Z200US10459","ZCTA5 10459","50984",
"860Z200US10460","ZCTA5 10460","62625",
"860Z200US10461","ZCTA5 10461","54901",
"860Z200US10462","ZCTA5 10462","84655",
"860Z200US10463","ZCTA5 10463","71301",
"860Z200US10464","ZCTA5 10464","4592",
"860Z200US10465","ZCTA5 10465","45799",
"860Z200US10466","ZCTA5 10466","70420",
"860Z200US10467","ZCTA5 10467","103660",
"860Z200US10468","ZCTA5 10468","78238",
"860Z200US10469","ZCTA5 10469","71571",
"860Z200US10470","ZCTA5 10470","16686",
"860Z200US10471","ZCTA5 10471","25121",
"860Z200US10472","ZCTA5 10472","72245",
"860Z200US10473","ZCTA5 10473","62692",
"860Z200US10474","ZCTA5 10474","12013",
"860Z200US10475","ZCTA5 10475","42609",
"860Z200US10501","ZCTA5 10501","1486",
"860Z200US10502","ZCTA5 10502","6261",
"860Z200US10503","ZCTA5 10503","121",
"860Z200US10504","ZCTA5 10504","8258",
"860Z200US10505","ZCTA5 10505","1431",
"860Z200US10506","ZCTA5 10506","5762",
"860Z200US10507","ZCTA5 10507","6521",
"860Z200US10509","ZCTA5 10509","19501",
"860Z200US10510","ZCTA5 10510","10010",
"860Z200US10511","ZCTA5 10511","2369",
"860Z200US10512","ZCTA5 10512","24664",
"860Z200US10514","ZCTA5 10514","12568",
"860Z200US10516","ZCTA5 10516","5462",
"860Z200US10517","ZCTA5 10517","549",
"860Z200US10518","ZCTA5 10518","1327",
"860Z200US10519","ZCTA5 10519","278",
"860Z200US10520","ZCTA5 10520","13226",
"860Z200US10522","ZCTA5 10522","11587",
"860Z200US10523","ZCTA5 10523","9489",
"860Z200US10524","ZCTA5 10524","4447",
"860Z200US10526","ZCTA5 10526","1865",
"860Z200US10527","ZCTA5 10527","785",
"860Z200US10528","ZCTA5 10528","13108",
"860Z200US10530","ZCTA5 10530","13037",
"860Z200US10532","ZCTA5 10532","5115",
"860Z200US10533","ZCTA5 10533","7705",
"860Z200US10535","ZCTA5 10535","531",
"860Z200US10536","ZCTA5 10536","10792",
"860Z200US10537","ZCTA5 10537","2527",
"860Z200US10538","ZCTA5 10538","18318",
"860Z200US10540","ZCTA5 10540","19",
"860Z200US10541","ZCTA5 10541","25651",
"860Z200US10542","ZCTA5 10542","85",
"860Z200US10543","ZCTA5 10543","21296",
"860Z200US10545","ZCTA5 10545","160",
"860Z200US10546","ZCTA5 10546","1426",
"860Z200US10547","ZCTA5 10547","7293",
